item_id,item_name,brand,desc_item,i_type,likes,dislikes,exp_date,spm_id,cost,department,size
1,natoque penatibus et magnis,National,ICE - CRUSHED/CUBED,FRZN ICE,,,5/28/2021,1,6.71,GROCERY,22 LB
2,"laoreet, libero et tristique",National,NO SUBCOMMODITY DESCRIPTION,NO COMMODITY DESCRIPTION,,,7/20/2020,1,28.27,MISC. TRANS., 
3,cursus,Private,BREAD:ITALIAN/FRENCH,BREAD,,,4/15/2021,1,13.44,PASTRY, 
4,"tempus scelerisque,",Private,APPLE SAUCE,FRUIT - SHELF STABLE,,,8/25/2020,1,5.36,GROCERY,50 OZ
5,ullamcorper viverra. Maecenas iaculis,Private,SPECIALTY COOKIES,COOKIES/CONES,,,7/3/2020,1,54.77,GROCERY,14 OZ
6,"in,",Private,SPICES & SEASONINGS,SPICES & EXTRACTS,,,12/27/2020,1,87.16,GROCERY,2.5 OZ
7,"ipsum porta elit, a feugiat",Private,TRAY PACK/CHOC CHIP COOKIES,COOKIES/CONES,,,3/17/2021,1,97.52,GROCERY,16 OZ
8,"sed, sapien. Nunc",Private,VITAMIN - MINERALS,VITAMINS,,,2/8/2021,1,3.96,DRUG GM,300CT(1)
9,"molestie pharetra nibh. Aliquam ornare,",Private,SW GDS: SW ROLLS/DAN,BREAKFAST SWEETS,,,11/25/2020,1,23.67,PASTRY, 
10,sed sem egestas blandit.,Private,HONEY,PNT BTR/JELLY/JAMS,,,4/24/2021,1,49.66,GROCERY,12 OZ
11,sociis natoque penatibus,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,8/20/2020,1,32.45,GROCERY,56 OZ
12,"mattis ornare,",National,TV/MOVIE-MAGAZINE,MAGAZINE,,,5/30/2021,1,91.44,DRUG GM, 
13,volutpat nunc sit amet,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,1/15/2021,1,71.7,GROCERY,56 OZ
14,"Vivamus nibh dolor, nonummy",National,AIR CARE - AEROSOLS,AIR CARE,,,6/4/2021,1,1.81,GROCERY, 
15,vulputate velit eu sem.,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,3/9/2021,1,42.6,GROCERY,56 OZ
16,quam a felis,Private,SPICES & SEASONINGS,SPICES & EXTRACTS,,,12/29/2020,1,48.74,GROCERY,4 OZ
17,"diam. Duis mi enim,",Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,9/28/2020,1,45.38,GROCERY,56 OZ
18,"non,",Private,STRING CHEESE,CHEESE,,,8/23/2020,1,57.59,GROCERY,1 OZ
19,massa. Vestibulum accumsan neque et,Private,VEGETABLE/SALAD OIL,SHORTENING/OIL,,,3/30/2021,1,82.43,GROCERY,48 OZ
20,sed pede nec ante blandit,Private,INSTANT DECAF FLVR COFFEE W/ S,COFFEE,,,11/11/2020,1,51.08,GROCERY,9 OZ
21,turpis nec mauris blandit mattis.,Private,DIET CNTRL LIQS NUTRITIONAL,DIETARY AID PRODUCTS,,,11/16/2020,1,12.29,DRUG GM, 
22,imperdiet ullamcorper. Duis,Private,PAPER AND FOAM DRINKING CUPS,PAPER HOUSEWARES,,,7/1/2020,1,19.5,GROCERY,24 CT
23,imperdiet ullamcorper. Duis,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,9/4/2020,1,96.39,GROCERY,56 OZ
24,"Phasellus dolor elit,",Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,8/20/2020,1,17.4,GROCERY,20 OZ
25,lobortis tellus justo sit,Private,NATURAL CHEESE EXACT WT CHUNKS,CHEESE,,,7/8/2020,1,82.01,GROCERY,24 OZ
26,massa,Private,CRANBERRY SAUCE,FRUIT - SHELF STABLE,,,11/29/2020,1,58.16,GROCERY,16 OZ
27,tristique senectus et,Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,4/20/2021,1,5.75,GROCERY,20 OZ
28,"a, aliquet vel,",Private,MIXED VEGETABLES,VEGETABLES - SHELF STABLE,,,5/29/2021,1,63.88,GROCERY,15 OZ
29,Nam porttitor scelerisque neque. Nullam,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,12/3/2020,1,68.73,GROCERY,1/2 GAL
30,sapien. Nunc pulvinar,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,11/23/2020,1,89.97,GROCERY,56 OZ
31,eu nulla at sem,Private,MEXICAN BEANS REFRIED,HISPANIC,,,4/27/2021,1,47.81,GROCERY,16 OZ
32,Donec nibh. Quisque nonummy ipsum,Private,NATURAL CHEESE EXACT WT CHUNKS,CHEESE,,,10/21/2020,1,25.42,GROCERY,A B D  8OZ
33,velit egestas lacinia. Sed,Private,MAINSTREAM WHITE BREAD,BAKED BREAD/BUNS/ROLLS,,,11/17/2020,1,99.12,GROCERY,20 OZ
34,"ut aliquam iaculis, lacus pede",Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,3/21/2021,1,50.52,GROCERY,64 OZ
35,erat vel pede blandit,Private,SKILLET DINNERS,DINNER MXS:DRY,,,5/12/2021,1,75.69,GROCERY,5.8 OZ
36,eu enim.,Private,HOT MUSTARD/SPECIALTY MUSTAR,CONDIMENTS/SAUCES,,,1/31/2021,1,13.4,GROCERY,12 OZ
37,libero. Morbi accumsan laoreet ipsum.,Private,PLASTIC/HEAVY PAPER PREM PLATE,PAPER HOUSEWARES,,,7/18/2020,1,17.95,GROCERY,24 CT
38,"rutrum non, hendrerit id,",Private,IWS SINGLE CHEESE,CHEESE,,,4/24/2021,1,73.41,GROCERY,12 OZ
39,sapien. Nunc,Private,HONEY,PNT BTR/JELLY/JAMS,,,1/5/2021,1,44.5,GROCERY,32 OZ
40,rutrum magna. Cras,Private,FRZN BAGGED VEGETABLES - PLAIN,FRZN VEGETABLE/VEG DSH,,,10/18/2020,1,1.68,GROCERY,16 OZ
41,velit,Private,MACARONI & CHEESE DNRS,DINNER MXS:DRY,,,7/3/2020,1,78.16,GROCERY,14 OZ
42,feugiat. Sed nec metus facilisis,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,7/15/2020,1,26.31,GROCERY,56 OZ
43,interdum feugiat. Sed,Private,TRADITIONAL,ICE CREAM/MILK/SHERBTS,,,3/18/2021,1,41.76,GROCERY,56 OZ
44,mus. Proin,Private,SKILLET DINNERS,DINNER MXS:DRY,,,1/10/2021,1,8.81,GROCERY,6.5 OZ
45,Mauris,Private,GROUND COFFEE,COFFEE,,,3/29/2021,1,47.73,GROCERY,34.5 OZ
46,augue. Sed,Private,PIE FILLING MINCEMEAT GLAZES,BAKING NEEDS,,,12/16/2020,1,14.12,GROCERY,21 OZ
47,nec orci. Donec,Private,POTATOES SWEET,VEGETABLES - SHELF STABLE,,,12/15/2020,1,66,GROCERY,29 OZ
48,nibh.,Private,ENGLISH MUFFINS/WAFFLES,BAKED BREAD/BUNS/ROLLS,,,2/3/2021,1,32.07,GROCERY,13 OZ
49,nulla vulputate,Private,PLSTC CTLRYTBLCLTHSTTHPKSST,PAPER HOUSEWARES,,,5/31/2021,1,77.47,GROCERY,72 CT
50,Donec sollicitudin adipiscing ligula.,Private,MEXICAN BEANS REFRIED,HISPANIC,,,3/24/2021,1,43.46,GROCERY,16 OZ
51,velit. Quisque varius. Nam porttitor,Private,SKILLET DINNERS,DINNER MXS:DRY,,,4/26/2021,1,95.71,GROCERY,6.5 OZ
